Antiviral and antihypertensive effects of Nrf2 and its link to SARS-CoV-2 infection.

[TRANSCRIPTION_TRANSLATION:idd9f034dd]	Interaction is not connected
[TRANSCRIPTION_TRANSLATION:idb56611eb]	Invalid interaction type.
[TBAR:id7d319e35]	Invalid interaction type.
[TBAR:idf6d0067c]	Invalid interaction type.
[TBAR:id81a62627]	Invalid interaction type.
[TBAR:id80337e77]	Invalid interaction type.
[TBAR:id985cf82a]	Invalid interaction type.
[TRANSCRIPTION_TRANSLATION:id84003b63]	Invalid interaction type.
[LINE:idfc2d23ef]	Invalid interaction type.
[LINE:id212b2183]	Invalid interaction type.
[LINE:id2ce067d0]	Invalid interaction type.
[TRANSCRIPTION_TRANSLATION:id5c095b76]	Invalid interaction type.
[Label:e618f]	 Label cannot be part of reaction. Tranforming to Unknown
[Label:cc062]	 Label cannot be part of reaction. Tranforming to Unknown
[Label:cab5c]	 Label cannot be part of reaction. Tranforming to Unknown
[Label:ba91d]	 Label cannot be part of reaction. Tranforming to Unknown
[Label:e22c7]	 Label cannot be part of reaction. Tranforming to Unknown
[ERGIC:bddc5]	 Shape can not be part of reaction. Tranforming to Unknown
[:a29ca]	 Shape can not be part of reaction. Tranforming to Unknown
[:d42ff]	 Shape can not be part of reaction. Tranforming to Unknown
[:fb282]	OVAL cannot be part of a complex. Skipping.
[:e664a]	OVAL cannot be part of a complex. Skipping.
[:f9135]	OVAL cannot be part of a complex. Skipping.
[:cf149]	OVAL cannot be part of a complex. Skipping.
[:c96b3]	OVAL cannot be part of a complex. Skipping.
[:d62ec]	OVAL cannot be part of a complex. Skipping.
[:b4d90]	OVAL cannot be part of a complex. Skipping.
[:e8411]	OVAL cannot be part of a complex. Skipping.
[:d5803]	OVAL cannot be part of a complex. Skipping.
[:a05bc]	OVAL cannot be part of a complex. Skipping.
[:de002]	OVAL cannot be part of a complex. Skipping.
[Complex:c487f]	Empty element is invalid
[Complex:efd1b]	Empty element is invalid
[Complex:c4bfd]	Empty element is invalid
